sentence1;sentence2;similarity_score;same;lex_overlap;non_contextual_dist_GPT;non_contextual_dist_E5;contextual_dist_GPT;contextual_dist_E5;Centroid_GPT;Centroid_E5;VLDDR_GPT;VLDDR_E5;EOS_GPT;CLS_E5
A plane is taking off.;An air plane is taking off.;5.0;1;0.625;0.3002595007419586;0.3025107085704803;0.0217384155839681;0.2334279865026474;0.9997634887695312;0.97275573015213;13.81239122888959;1.2959487553436504;0.9999699592590332;0.9812711477279663
A man is playing the cello.;A man seated is playing the cello.;4.25;1;0.875;0.216877669095993;0.2343298941850662;0.0215989872813224;0.2364062219858169;0.9997667074203492;0.9720560312271118;10.041103606905494;0.9912171186388008;0.9999840259552002;0.9816798567771912
Some men are fighting.;Two men are fighting.;4.25;1;0.6666666666666666;0.2759068310260772;0.3353578746318817;0.0550487451255321;0.2537917196750641;0.9984850883483888;0.9677948355674744;5.012045785910367;1.3213901346397308;0.9999470710754395;0.9881957769393921
A man is smoking.;A man is skating.;0.5;0;0.6666666666666666;0.4300268590450287;0.4145762026309967;0.0273949354887008;0.6823703646659851;0.9996249079704284;0.7671852111816406;15.697312345283482;0.6075530593036942;0.9999967217445374;0.8995906114578247
A person is throwing a cat on to the ceiling.;A person throws a cat on the ceiling.;5.0;1;0.8;0.2058063745498657;0.2470416575670242;0.0184470079839229;0.108495682477951;0.999829649925232;0.9941142797470092;11.156626306511672;2.2769722437317177;0.9999788403511047;0.9977027177810669
The man hit the other man with a stick.;The man spanked the other man with a stick.;4.2;1;0.7777777777777778;0.2688356041908264;0.2957261204719543;0.032026968896389;0.3556012213230133;0.999487280845642;0.936773955821991;8.394038320034001;0.8316229043637876;0.9999592900276184;0.9747631549835205
A woman picks up and holds a baby kangaroo.;A woman picks up and holds a baby kangaroo in her arms.;4.6;1;0.75;0.1829643845558166;0.2642085254192352;0.015132488682866;0.127620667219162;0.9998855590820312;0.991856575012207;12.09083240636947;2.070264410744006;0.9999973773956299;0.9949339628219604
A person is folding a piece of paper.;Someone is folding a piece of paper.;4.667;1;0.7777777777777778;0.2466646581888198;0.220577523112297;0.022796731442213;0.1073066145181655;0.9997403621673584;0.994242787361145;10.82017651583451;2.055581793375433;0.9999885559082031;0.9991778135299683
The polar bear is sliding on the snow.;A polar bear is sliding across the snow.;5.0;1;0.7;0.2275642901659011;0.2934226095676422;0.0266965627670288;0.1635107696056366;0.999643862247467;0.9866321086883544;8.524104475612534;1.7945154944554016;0.9999868869781494;0.9926769733428955
A woman is writing.;A woman is swimming.;0.5;0;0.6666666666666666;0.4180518686771393;0.3953592777252197;0.0262590497732162;0.689357340335846;0.9996551871299744;0.7623931169509888;15.920296899073042;0.5735186304574719;0.9999675750732422;0.9045113325119019
The man is riding a horse.;A man is riding on a horse.;5.0;1;0.75;0.1976819187402725;0.214556872844696;0.0370023697614669;0.2023326456546783;0.9993155002593994;0.9795307517051696;5.342412391817451;1.0604164846975848;0.9999610185623169;0.9929073452949524
A panda is sliding down a slide.;A panda slides down a slide.;4.6;1;0.8333333333333334;0.261238694190979;0.3194702863693237;0.0180882420390844;0.1405009180307388;0.9998365044593812;0.9901298880577089;14.442459008813772;2.2737950103602165;0.9999936819076538;0.9950716495513916
A woman peels a potato.;A woman is peeling a potato.;5.0;1;0.8333333333333334;0.2850393056869507;0.2793502807617187;0.0253443587571382;0.1299444437026977;0.9996790885925292;0.9915571212768556;11.246656836668604;2.1497670296765388;0.9999790191650391;0.9978508353233337
The boy fell off his bike.;A boy falls off his bike.;4.8;1;0.75;0.2571896314620971;0.3090187609195709;0.0388635843992233;0.1833777725696563;0.9992449283599854;0.9831863641738892;6.617753751690413;1.6851484047892968;0.9999931454658508;0.993959903717041
The woman is playing the flute.;A woman is playing a flute.;5.0;1;0.7142857142857143;0.2115278244018554;0.3154388964176178;0.031826913356781;0.1642621904611587;0.9994935989379884;0.9865089654922484;6.64619349135808;1.9203378180458768;0.9999508261680603;0.9975017309188843
A rabbit is running from an eagle.;A hare is running from a eagle.;4.2;1;0.6666666666666666;0.3441709578037262;0.282043993473053;0.0384973734617233;0.3040522038936615;0.9992588758468628;0.9537760615348816;8.940115308020275;0.9276170008348118;0.9999572038650513;0.973071813583374
The woman is frying a breaded pork chop.;A woman is cooking a breaded pork chop.;4.2;1;0.7;0.2167662680149078;0.2952598929405212;0.0338653139770031;0.2861109673976898;0.9994264841079712;0.959070324897766;6.400834439689743;1.0319768432019405;0.9999722242355347;0.9858583211898804
